f_18, P_18, P_fit, P_estimated, P_input, P_noise,
5.288194917950815643e+00 3.609995274981188385e-04 2.659001452329499190e-04 1.322191288704247642e-04 1.344027487278068235e-04 1.336810163625251819e-04
5.338083549252238491e+00 3.429670704507380282e-04 2.474465312389210331e-04 1.138484826196339253e-04 1.159510225003582541e-04 1.335980486192871349e-04
5.387972180553662227e+00 3.218110016370533664e-04 2.314072702502474892e-04 9.789267197071624361e-05 9.989386612345187687e-05 1.335145982795312455e-04
5.437860811855085075e+00 2.979078641108128304e-04 2.174855847866949887e-04 8.405491232739415158e-05 8.594109194530664313e-05 1.334306724593008371e-04
5.487749443156507034e+00 2.722015535196143309e-04 2.054181825717676447e-04 7.207190427983357125e-05 7.383473492487765293e-05 1.333462782919340734e-04
5.537638074457929882e+00 2.459469070727555366e-04 1.949718959708728527e-04 6.171047304378016261e-05 6.334588084980285821e-05 1.332614229270927036e-04
5.587526705759353618e+00 2.203955113553373256e-04 1.859406023093651962e-04 5.276448877956957828e-05 5.427175253094358173e-05 1.331761135297956315e-04
5.637415337060775578e+00 1.965510590899862905e-04 1.781424090757034089e-04 4.505205179624519849e-05 4.643304011465490511e-05 1.330903572794582036e-04
5.687303968362198425e+00 1.750591926229152638e-04 1.714170878939665890e-04 3.841292652502992043e-05 3.967146141906172530e-05 1.330041613689366754e-04
5.737192599663622161e+00 1.562187989303986046e-04 1.656237412137759270e-04 3.270620821019615618e-05 3.384753814374527370e-05 1.329175330035797776e-04
5.787081230965044121e+00 1.400614508795667006e-04 1.606386858868546932e-04 2.780820648656959833e-05 2.883857389868686101e-05 1.328304794002851084e-04
5.836969862266466968e+00 1.264476373726382470e-04 1.563535381526000366e-04 2.361053036603753518e-05 2.453682022490625490e-05 1.327430077865624912e-04
5.886858493567888928e+00 1.151494632884236748e-04 1.526734850166282936e-04 2.001835961702444621e-05 2.084781711453316630e-05 1.326551253996038373e-04
5.936747124869312664e+00 1.059094738573207917e-04 1.495157275548901347e-04 1.694888806953070200e-05 1.768889496226633458e-05 1.325668394853594327e-04
5.986635756170735512e+00 9.847688002426203664e-05 1.468080822922942976e-04 1.432992499467341792e-05 1.498782537539769312e-05 1.324781572976208932e-04
6.036524387472158359e+00 9.262675704025778321e-05 1.444877274714464186e-04 1.209864137433462548e-05 1.268160881950622391e-05 1.323890860971117898e-04
6.086413018773580319e+00 8.816799534338732604e-05 1.425000817287605265e-04 1.020044857817599357e-05 1.071538766710466551e-05 1.322996331505845347e-04
6.136301650075004055e+00 8.494442545473602211e-05 1.407978034183213331e-04 8.587997688396029259e-06 9.041473834066865960e-06 1.322098057299252920e-04
6.186190281376426903e+00 8.283193324722115409e-05 1.393398995567705868e-04 7.220288445504508541e-06 7.618480822344668805e-06 1.321196111112660698e-04
6.236078912677848862e+00 8.173300953947263076e-05 1.380909340951398613e-04 6.061877521035447928e-06 6.410550627556375945e-06 1.320290565741044024e-04
6.285967543979271710e+00 8.156911426205720435e-05 1.370203259474864893e-04 5.082176547055792332e-06 5.386666608162230973e-06 1.319381494004307029e-04
6.335856175280695446e+00 8.227043246660167028e-05 1.361017279143985335e-04 4.254831040534599185e-06 4.520044042140966842e-06 1.318468968738639377e-04
6.385744806582117405e+00 8.376205367557475624e-05 1.353124783261939828e-04 3.557172047398979983e-06 3.787590711523927817e-06 1.317553062787949977e-04
6.435633437883540253e+00 8.594548944929750254e-05 1.346331178914349734e-04 2.969732991896887667e-06 3.169430450143643040e-06 1.316633848995380938e-04
