Depth	Density	sigma_D	sigma_o18	sigma_o17
223.50	910.991	0.051857	0.057839	0.058591
224.00	911.059	0.051853	0.057835	0.058586
224.50	911.127	0.051849	0.057830	0.058582
225.00	911.194	0.051845	0.057826	0.058578
225.50	911.260	0.051841	0.057822	0.058573
226.00	911.326	0.051837	0.057818	0.058569
226.50	911.391	0.051834	0.057814	0.058565
227.00	911.455	0.051830	0.057810	0.058561
227.50	911.518	0.051827	0.057806	0.058557
228.00	911.581	0.051823	0.057802	0.058553
228.50	911.643	0.051819	0.057798	0.058549
229.00	911.704	0.051816	0.057794	0.058545
229.50	911.765	0.051813	0.057790	0.058541
230.00	911.824	0.051809	0.057786	0.058537
230.50	911.884	0.051806	0.057782	0.058533
231.00	911.942	0.051802	0.057779	0.058529
231.50	912.000	0.051799	0.057775	0.058526
232.00	912.057	0.051796	0.057772	0.058522
232.50	912.113	0.051793	0.057768	0.058518
233.00	912.169	0.051790	0.057764	0.058515
233.50	912.225	0.051786	0.057761	0.058511
234.00	912.279	0.051783	0.057757	0.058508
234.50	912.333	0.051780	0.057754	0.058504
235.00	912.387	0.051777	0.057751	0.058501
235.50	912.439	0.051774	0.057747	0.058498
236.00	912.491	0.051771	0.057744	0.058494
236.50	912.543	0.051768	0.057741	0.058491
237.00	912.594	0.051765	0.057738	0.058488
237.50	912.644	0.051763	0.057734	0.058484
238.00	912.694	0.051760	0.057731	0.058481
238.50	912.744	0.051757	0.057728	0.058478
239.00	912.792	0.051754	0.057725	0.058475
239.50	912.840	0.051751	0.057722	0.058472
240.00	912.888	0.051749	0.057719	0.058469
240.50	912.935	0.051746	0.057716	0.058466
241.00	912.982	0.051743	0.057713	0.058463
241.50	913.028	0.051741	0.057710	0.058460
242.00	913.073	0.051738	0.057707	0.058457
242.50	913.118	0.051736	0.057704	0.058454
243.00	913.162	0.051733	0.057702	0.058451
243.50	913.206	0.051731	0.057699	0.058448
244.00	913.250	0.051728	0.057696	0.058446
244.50	913.293	0.051726	0.057693	0.058443
245.00	913.335	0.051723	0.057691	0.058440
245.50	913.377	0.051721	0.057688	0.058438
246.00	913.419	0.051719	0.057685	0.058435
246.50	913.460	0.051716	0.057683	0.058432
247.00	913.500	0.051714	0.057680	0.058430
247.50	913.540	0.051712	0.057678	0.058427
248.00	913.580	0.051710	0.057675	0.058425
248.50	913.619	0.051707	0.057673	0.058422
249.00	913.658	0.051705	0.057670	0.058420
249.50	913.696	0.051703	0.057668	0.058417
250.00	913.734	0.051701	0.057665	0.058415
250.50	913.771	0.051699	0.057663	0.058412
251.00	913.808	0.051697	0.057661	0.058410
251.50	913.845	0.051695	0.057658	0.058408
252.00	913.881	0.051693	0.057656	0.058405
252.50	913.917	0.051691	0.057654	0.058403
253.00	913.952	0.051689	0.057652	0.058401
253.50	913.987	0.051687	0.057650	0.058399
254.00	914.021	0.051685	0.057647	0.058396
254.50	914.055	0.051683	0.057645	0.058394
255.00	914.089	0.051681	0.057643	0.058392
255.50	914.123	0.051679	0.057641	0.058390
256.00	914.156	0.051677	0.057639	0.058388
256.50	914.188	0.051675	0.057637	0.058386
257.00	914.220	0.051673	0.057635	0.058384
257.50	914.252	0.051672	0.057633	0.058382
258.00	914.284	0.051670	0.057631	0.058380
258.50	914.315	0.051668	0.057629	0.058378
259.00	914.346	0.051666	0.057627	0.058376
259.50	914.376	0.051665	0.057625	0.058374
260.00	914.406	0.051663	0.057623	0.058372
260.50	914.436	0.051661	0.057621	0.058370
261.00	914.465	0.051660	0.057619	0.058368
261.50	914.494	0.051658	0.057618	0.058366
262.00	914.523	0.051656	0.057616	0.058364
262.50	914.551	0.051655	0.057614	0.058362
263.00	914.579	0.051653	0.057612	0.058361
263.50	914.607	0.051652	0.057610	0.058359
264.00	914.635	0.051650	0.057609	0.058357
264.50	914.662	0.051648	0.057607	0.058355
265.00	914.689	0.051647	0.057605	0.058354
265.50	914.715	0.051645	0.057604	0.058352
266.00	914.741	0.051644	0.057602	0.058350
266.50	914.767	0.051642	0.057600	0.058349
267.00	914.793	0.051641	0.057599	0.058347
267.50	914.818	0.051640	0.057597	0.058345
268.00	914.843	0.051638	0.057596	0.058344
268.50	914.868	0.051637	0.057594	0.058342
269.00	914.892	0.051635	0.057592	0.058341
269.50	914.916	0.051634	0.057591	0.058339
270.00	914.940	0.051633	0.057589	0.058338
270.50	914.964	0.051631	0.057588	0.058336
271.00	914.987	0.051630	0.057586	0.058335
271.50	915.010	0.051629	0.057585	0.058333
272.00	915.033	0.051627	0.057584	0.058332
272.50	915.056	0.051626	0.057582	0.058330
273.00	915.078	0.051625	0.057581	0.058329
273.50	915.100	0.051624	0.057579	0.058327
274.00	915.122	0.051622	0.057578	0.058326
274.50	915.143	0.051621	0.057577	0.058325
275.00	915.165	0.051620	0.057575	0.058323
275.50	915.186	0.051619	0.057574	0.058322
276.00	915.207	0.051618	0.057573	0.058321
276.50	915.227	0.051617	0.057571	0.058319
