Depth	Density	sigma_D	sigma_o18	sigma_o17
259.50	916.704	0.078074	0.084371	0.085351
260.00	916.708	0.078074	0.084371	0.085351
260.50	916.713	0.078073	0.084370	0.085350
261.00	916.717	0.078073	0.084370	0.085350
261.50	916.721	0.078073	0.084370	0.085350
262.00	916.726	0.078072	0.084369	0.085349
262.50	916.730	0.078072	0.084369	0.085349
263.00	916.734	0.078072	0.084368	0.085348
263.50	916.738	0.078071	0.084368	0.085348
264.00	916.742	0.078071	0.084368	0.085348
264.50	916.746	0.078071	0.084367	0.085347
265.00	916.750	0.078070	0.084367	0.085347
265.50	916.754	0.078070	0.084367	0.085347
266.00	916.758	0.078070	0.084366	0.085346
266.50	916.761	0.078069	0.084366	0.085346
267.00	916.765	0.078069	0.084366	0.085346
267.50	916.769	0.078069	0.084365	0.085345
268.00	916.772	0.078068	0.084365	0.085345
268.50	916.776	0.078068	0.084365	0.085345
269.00	916.779	0.078068	0.084364	0.085344
269.50	916.783	0.078068	0.084364	0.085344
270.00	916.786	0.078067	0.084364	0.085344
270.50	916.789	0.078067	0.084363	0.085343
271.00	916.792	0.078067	0.084363	0.085343
271.50	916.796	0.078066	0.084363	0.085343
272.00	916.799	0.078066	0.084363	0.085342
272.50	916.802	0.078066	0.084362	0.085342
273.00	916.805	0.078066	0.084362	0.085342
273.50	916.808	0.078065	0.084362	0.085342
274.00	916.811	0.078065	0.084361	0.085341
274.50	916.814	0.078065	0.084361	0.085341
275.00	916.817	0.078065	0.084361	0.085341
275.50	916.819	0.078064	0.084361	0.085340
276.00	916.822	0.078064	0.084360	0.085340
276.50	916.825	0.078064	0.084360	0.085340
277.00	916.828	0.078064	0.084360	0.085340
277.50	916.830	0.078063	0.084360	0.085339
278.00	916.833	0.078063	0.084359	0.085339
278.50	916.835	0.078063	0.084359	0.085339
279.00	916.838	0.078063	0.084359	0.085339
279.50	916.840	0.078063	0.084359	0.085338
280.00	916.843	0.078062	0.084358	0.085338
280.50	916.845	0.078062	0.084358	0.085338
281.00	916.848	0.078062	0.084358	0.085338
281.50	916.850	0.078062	0.084358	0.085338
282.00	916.852	0.078062	0.084358	0.085337
282.50	916.855	0.078061	0.084357	0.085337
283.00	916.857	0.078061	0.084357	0.085337
283.50	916.859	0.078061	0.084357	0.085337
284.00	916.861	0.078061	0.084357	0.085337
284.50	916.863	0.078061	0.084357	0.085336
285.00	916.865	0.078060	0.084356	0.085336
285.50	916.868	0.078060	0.084356	0.085336
286.00	916.870	0.078060	0.084356	0.085336
286.50	916.872	0.078060	0.084356	0.085336
287.00	916.874	0.078060	0.084356	0.085335
287.50	916.875	0.078060	0.084355	0.085335
288.00	916.877	0.078059	0.084355	0.085335
288.50	916.879	0.078059	0.084355	0.085335
289.00	916.881	0.078059	0.084355	0.085335
289.50	916.883	0.078059	0.084355	0.085335
290.00	916.885	0.078059	0.084355	0.085334
290.50	916.887	0.078059	0.084354	0.085334
291.00	916.888	0.078059	0.084354	0.085334
291.50	916.890	0.078058	0.084354	0.085334
292.00	916.892	0.078058	0.084354	0.085334
292.50	916.893	0.078058	0.084354	0.085334
293.00	916.895	0.078058	0.084354	0.085333
293.50	916.897	0.078058	0.084354	0.085333
294.00	916.898	0.078058	0.084353	0.085333
294.50	916.900	0.078058	0.084353	0.085333
295.00	916.901	0.078057	0.084353	0.085333
295.50	916.903	0.078057	0.084353	0.085333
296.00	916.904	0.078057	0.084353	0.085333
296.50	916.906	0.078057	0.084353	0.085332
297.00	916.907	0.078057	0.084353	0.085332
297.50	916.909	0.078057	0.084352	0.085332
298.00	916.910	0.078057	0.084352	0.085332
298.50	916.911	0.078057	0.084352	0.085332
299.00	916.913	0.078056	0.084352	0.085332
299.50	916.914	0.078056	0.084352	0.085332
